day_utc,rows,finite_F_minutes,finite_flow_speed_minutes,finite_SYM_H_minutes,daily_min_SYM_H_nT,daily_max_SYM_H_nT,abs_daily_min_SYM_H,daily_SYM_H_interdecile_range,daily_F_median_nT,daily_F_interdecile_range,daily_flow_speed_median_km_s,daily_flow_speed_interdecile_range,median_percent_interp,maximum_percent_interp
2024-01-01 00:00:00+00:00,1440,1409,1085,1440,-32.0,7.0,32.0,25.0,5.97,6.3020000000000005,331.2,46.39999999999998,0.0,100.0
2024-01-02 00:00:00+00:00,1440,1360,909,1440,-25.0,-4.0,25.0,12.0,7.42,3.641,387.9,32.74000000000001,88.0,100.0
2024-01-03 00:00:00+00:00,1440,1406,970,1440,-25.0,13.0,25.0,25.0,6.945,3.6949999999999994,430.95,98.82,82.5,100.0
2024-01-04 00:00:00+00:00,1440,1423,1132,1440,-21.0,-4.0,21.0,11.0,4.19,3.8359999999999994,427.8,48.56999999999999,40.0,100.0
2024-01-05 00:00:00+00:00,1440,1397,971,1440,-25.0,-5.0,25.0,14.0,3.4,1.0899999999999999,392.6,36.0,67.0,100.0
2024-01-06 00:00:00+00:00,1440,1004,664,1440,-12.0,-2.0,12.0,8.0,2.88,0.43999999999999995,356.04999999999995,41.370000000000005,89.5,100.0
2024-01-07 00:00:00+00:00,1440,1418,1103,1440,-8.0,4.0,8.0,10.0,2.54,1.7929999999999997,311.4,23.480000000000018,50.0,100.0
2024-01-08 00:00:00+00:00,1440,1419,1147,1440,-1.0,13.0,1.0,8.0,4.57,3.63,320.3,35.74000000000001,88.0,100.0
2024-01-09 00:00:00+00:00,1440,1409,1074,1440,-3.0,8.0,3.0,7.0,6.39,2.0219999999999994,356.7,28.899999999999977,50.0,100.0
2024-01-10 00:00:00+00:00,1440,1410,1099,1440,-19.0,8.0,19.0,17.0,7.78,2.7910000000000013,398.1,46.639999999999986,21.0,100.0
2024-01-11 00:00:00+00:00,1440,1421,1002,1440,-19.0,-1.0,19.0,10.0,5.81,3.83,432.65,50.95999999999998,67.0,100.0
2024-01-12 00:00:00+00:00,1440,1427,1092,1440,-17.0,1.0,17.0,14.0,3.86,1.29,431.35,72.03000000000003,100.0,100.0
2024-01-13 00:00:00+00:00,1440,1422,1103,1440,-9.0,2.0,9.0,7.0,4.33,1.1800000000000002,344.3,26.30000000000001,100.0,100.0
2024-01-14 00:00:00+00:00,1440,1433,1068,1440,-27.0,0.0,27.0,20.0,5.84,2.195999999999999,326.9,28.53000000000003,0.0,100.0
2024-01-15 00:00:00+00:00,1440,1436,1057,1440,-15.0,3.0,15.0,10.0,5.13,3.715,333.7,33.94,86.5,100.0
2024-01-16 00:00:00+00:00,1440,1430,836,1440,-12.0,5.0,12.0,10.0,5.86,4.16,336.6,29.600000000000023,0.0,100.0
2024-01-17 00:00:00+00:00,1440,1312,816,1440,-8.0,11.0,8.0,12.0,3.18,1.7200000000000002,343.0,43.950000000000045,50.0,100.0
2024-01-18 00:00:00+00:00,1440,1263,957,1440,-17.0,10.0,17.0,19.0,5.75,3.0300000000000002,354.1,59.5,12.0,100.0
2024-01-19 00:00:00+00:00,1440,1336,876,1440,-33.0,-1.0,33.0,23.099999999999994,6.97,3.0900000000000007,386.35,49.049999999999955,80.0,100.0
2024-01-20 00:00:00+00:00,1440,1291,607,1440,-18.0,-1.0,18.0,13.0,4.5,0.96,375.7,23.439999999999998,0.0,100.0
2024-01-21 00:00:00+00:00,1440,1237,861,1440,-20.0,8.0,20.0,23.0,5.19,2.194,361.3,29.0,38.0,100.0
2024-01-22 00:00:00+00:00,1440,1393,715,1440,-17.0,25.0,17.0,19.0,6.12,6.65,396.6,86.68,0.0,100.0
2024-01-23 00:00:00+00:00,1440,1376,1070,1440,-16.0,12.0,16.0,18.0,5.835,3.9050000000000002,418.25,24.810000000000002,0.0,100.0
2024-01-24 00:00:00+00:00,1440,486,242,1440,-24.0,18.0,24.0,15.0,6.355,3.7649999999999997,454.85,13.870000000000005,0.0,100.0
2024-01-25 00:00:00+00:00,1440,1286,1031,1440,-13.0,15.0,13.0,13.0,6.11,5.57,401.2,37.39999999999998,100.0,100.0
2024-01-26 00:00:00+00:00,1440,1363,1037,1440,-19.0,9.0,19.0,16.0,6.3,2.2300000000000004,396.0,58.339999999999975,0.0,100.0
2024-01-27 00:00:00+00:00,1440,1086,481,1440,-13.0,14.0,13.0,18.0,5.73,1.8549999999999995,362.9,19.899999999999977,16.0,100.0
2024-01-28 00:00:00+00:00,1440,1411,1167,1440,-18.0,19.0,18.0,23.0,8.64,4.25,370.1,49.32000000000005,0.0,100.0
2024-01-29 00:00:00+00:00,1440,1412,805,1440,-17.0,9.0,17.0,11.0,6.27,2.769,429.1,104.25999999999999,72.0,100.0
2024-01-30 00:00:00+00:00,1440,1397,965,1440,-20.0,9.0,20.0,18.0,4.61,1.63,467.9,26.25999999999999,33.0,100.0
2024-01-31 00:00:00+00:00,1440,1348,965,1440,-15.0,2.0,15.0,10.0,3.32,0.8500000000000001,423.5,69.97999999999996,90.0,100.0
2024-02-01 00:00:00+00:00,1440,1406,1079,1440,-11.0,15.0,11.0,20.0,4.09,3.43,381.1,66.44000000000005,94.5,100.0
