day_utc,rows,finite_F_minutes,finite_flow_speed_minutes,finite_SYM_H_minutes,daily_min_SYM_H_nT,daily_max_SYM_H_nT,abs_daily_min_SYM_H,daily_SYM_H_interdecile_range,daily_F_median_nT,daily_F_interdecile_range,daily_flow_speed_median_km_s,daily_flow_speed_interdecile_range,median_percent_interp,maximum_percent_interp,rank_abs_daily_min_SYM_H,rank_daily_SYM_H_interdecile_range,rank_daily_F_interdecile_range,rank_daily_flow_speed_interdecile_range,activity_rank_sum
2024-02-03 00:00:00+00:00,1440,1414,1095,1440,-6.0,9.0,6.0,8.0,3.5,1.5270000000000001,320.2,11.700000000000045,30.0,100.0,0.13333333333333333,0.2,0.16666666666666666,0.03333333333333333,0.5333333333333333
2024-03-17 00:00:00+00:00,1440,1428,1097,1440,-2.0,7.0,2.0,6.0,3.61,0.77,336.2,38.379999999999995,100.0,100.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.36666666666666664,0.5333333333333333
2024-01-13 00:00:00+00:00,1440,1422,1103,1440,-9.0,2.0,9.0,7.0,4.33,1.1800000000000002,344.3,26.30000000000001,100.0,100.0,0.23333333333333334,0.11666666666666667,0.06666666666666667,0.13333333333333333,0.5499999999999999
2024-01-09 00:00:00+00:00,1440,1409,1074,1440,-3.0,8.0,3.0,7.0,6.39,2.0219999999999994,356.7,28.899999999999977,50.0,100.0,0.1,0.11666666666666667,0.26666666666666666,0.23333333333333334,0.7166666666666667
2024-01-07 00:00:00+00:00,1440,1418,1103,1440,-8.0,4.0,8.0,10.0,2.54,1.7929999999999997,311.4,23.480000000000018,50.0,100.0,0.18333333333333332,0.2833333333333333,0.23333333333333334,0.06666666666666667,0.7666666666666666
2024-02-02 00:00:00+00:00,1440,1396,1038,1440,-10.0,2.0,10.0,8.0,2.85,1.3199999999999998,343.75,29.600000000000023,67.0,100.0,0.26666666666666666,0.2,0.13333333333333333,0.26666666666666666,0.8666666666666667
2024-01-08 00:00:00+00:00,1440,1419,1147,1440,-1.0,13.0,1.0,8.0,4.57,3.63,320.3,35.74000000000001,88.0,100.0,0.03333333333333333,0.2,0.5,0.3333333333333333,1.0666666666666667
2024-03-20 00:00:00+00:00,1440,1369,1047,1440,-8.0,8.0,8.0,11.0,5.46,1.7320000000000002,337.9,53.539999999999964,40.0,100.0,0.18333333333333332,0.35,0.2,0.6,1.3333333333333335
2024-01-15 00:00:00+00:00,1440,1436,1057,1440,-15.0,3.0,15.0,10.0,5.13,3.715,333.7,33.94,86.5,100.0,0.36666666666666664,0.2833333333333333,0.5333333333333333,0.3,1.4833333333333332
2024-01-23 00:00:00+00:00,1440,1376,1070,1440,-16.0,12.0,16.0,18.0,5.835,3.9050000000000002,418.25,24.810000000000002,0.0,100.0,0.4,0.6166666666666667,0.6,0.1,1.7166666666666668
2024-01-12 00:00:00+00:00,1440,1427,1092,1440,-17.0,1.0,17.0,14.0,3.86,1.29,431.35,72.03000000000003,100.0,100.0,0.45,0.43333333333333335,0.1,0.7666666666666667,1.75
2024-03-18 00:00:00+00:00,1440,1420,1169,1440,-17.0,10.0,17.0,5.0,4.55,4.494000000000004,300.5,49.0,0.0,100.0,0.45,0.03333333333333333,0.7333333333333333,0.5333333333333333,1.75
2024-03-11 00:00:00+00:00,1440,1394,1049,1440,-20.0,3.0,20.0,13.0,3.86,3.1069999999999998,378.7,40.01999999999998,9.5,100.0,0.5666666666666667,0.4,0.4,0.4,1.7666666666666666
2024-01-14 00:00:00+00:00,1440,1433,1068,1440,-27.0,0.0,27.0,20.0,5.84,2.195999999999999,326.9,28.53000000000003,0.0,100.0,0.7166666666666667,0.6833333333333333,0.3,0.2,1.9
2024-01-10 00:00:00+00:00,1440,1410,1099,1440,-19.0,8.0,19.0,17.0,7.78,2.7910000000000013,398.1,46.639999999999986,21.0,100.0,0.5333333333333333,0.5666666666666667,0.36666666666666664,0.4666666666666667,1.9333333333333336
2024-01-04 00:00:00+00:00,1440,1423,1132,1440,-21.0,-4.0,21.0,11.0,4.19,3.8359999999999994,427.8,48.56999999999999,40.0,100.0,0.6,0.35,0.5666666666666667,0.5,2.0166666666666666
2024-03-19 00:00:00+00:00,1440,1421,1126,1440,-30.0,-7.0,30.0,15.0,4.89,4.199999999999999,364.3,27.44999999999999,89.0,100.0,0.7666666666666667,0.4666666666666667,0.6666666666666666,0.16666666666666666,2.0666666666666664
2024-02-01 00:00:00+00:00,1440,1406,1079,1440,-11.0,15.0,11.0,20.0,4.09,3.43,381.1,66.44000000000005,94.5,100.0,0.3,0.6833333333333333,0.4666666666666667,0.7,2.1500000000000004
2024-02-04 00:00:00+00:00,1440,1372,1019,1440,-13.0,14.0,13.0,16.0,6.225,4.0070000000000014,355.9,81.54000000000002,50.0,100.0,0.3333333333333333,0.5166666666666667,0.6333333333333333,0.8666666666666667,2.35
2024-01-28 00:00:00+00:00,1440,1411,1167,1440,-18.0,19.0,18.0,23.0,8.64,4.25,370.1,49.32000000000005,0.0,100.0,0.5,0.7333333333333333,0.7,0.5666666666666667,2.5
2024-04-09 00:00:00+00:00,1440,1423,1141,1440,-27.0,3.0,27.0,18.0,7.09,2.5700000000000003,367.7,78.30000000000001,0.0,100.0,0.7166666666666667,0.6166666666666667,0.3333333333333333,0.8333333333333334,2.5
2024-02-26 00:00:00+00:00,1440,1419,1047,1440,-22.0,4.0,22.0,16.0,7.24,5.36,403.3,55.69999999999999,43.0,100.0,0.65,0.5166666666666667,0.8,0.6333333333333333,2.6
2024-03-26 00:00:00+00:00,1440,1388,1053,1440,-58.0,-20.0,58.0,24.0,3.78,3.22,612.4,76.94000000000005,100.0,100.0,0.8333333333333334,0.7666666666666667,0.43333333333333335,0.8,2.833333333333333
2024-01-01 00:00:00+00:00,1440,1409,1085,1440,-32.0,7.0,32.0,25.0,5.97,6.3020000000000005,331.2,46.39999999999998,0.0,100.0,0.8,0.8,0.8333333333333334,0.43333333333333335,2.866666666666667
2024-04-04 00:00:00+00:00,1440,1416,1170,1440,-22.0,22.0,22.0,29.0,7.82,4.5550000000000015,435.1,118.57000000000005,25.0,100.0,0.65,0.8333333333333334,0.7666666666666667,0.9,3.15
2024-03-21 00:00:00+00:00,1440,1428,1026,1440,-81.0,30.0,81.0,86.0,9.79,9.142999999999999,353.8,55.75,0.0,100.0,0.8666666666666667,0.9666666666666667,0.9,0.6666666666666666,3.4
2024-03-03 00:00:00+00:00,1440,1420,1041,1440,-128.0,40.0,128.0,134.0,10.620000000000001,14.369999999999997,332.5,71.10000000000002,60.0,100.0,0.9666666666666667,1.0,0.9333333333333333,0.7333333333333333,3.6333333333333337
2024-03-23 00:00:00+00:00,1440,1380,1105,1440,-92.0,21.0,92.0,81.10000000000014,9.35,9.042000000000002,365.5,146.08000000000004,29.0,100.0,0.9333333333333333,0.9,0.8666666666666667,0.9333333333333333,3.6333333333333337
2024-03-25 00:00:00+00:00,1440,1436,1189,1440,-89.0,-11.0,89.0,33.0,6.995,19.055,735.1,157.89999999999998,0.0,100.0,0.9,0.8666666666666667,0.9666666666666667,0.9666666666666667,3.7
2024-03-24 00:00:00+00:00,1440,1422,1096,1440,-174.0,8.0,174.0,84.0,8.79,24.329,539.9,356.45,25.0,100.0,1.0,0.9333333333333333,1.0,1.0,3.9333333333333336
