control_class,metric,interval_count,median,minimum,maximum
LOW_ACTIVITY,dscovr_gate_fraction,2,0.008069474549137944,0.003952569169960474,0.012186379928315413
LOW_ACTIVITY,ace_gate_fraction,2,0.009728978457261988,0.0034746351633078527,0.015983321751216122
LOW_ACTIVITY,wind_gate_fraction,2,0.004256445507285695,0.0014357501794687725,0.007077140835102618
LOW_ACTIVITY,joint_support_fraction_within_1_minutes,2,0.0,0.0,0.0
LOW_ACTIVITY,joint_support_fraction_within_2_minutes,2,0.029411764705882353,0.0,0.058823529411764705
LOW_ACTIVITY,joint_support_fraction_within_3_minutes,2,0.058823529411764705,0.0,0.11764705882352941
LOW_ACTIVITY,joint_support_fraction_within_5_minutes,2,0.08823529411764706,0.0,0.17647058823529413
LOW_ACTIVITY,joint_support_fraction_within_10_minutes,2,0.2647058823529412,0.0,0.5294117647058824
LOW_ACTIVITY,joint_support_fraction_within_15_minutes,2,0.42352941176470593,0.2,0.6470588235294118
LOW_ACTIVITY,strongest_span_le_3_minutes_fraction,2,0.0,0.0,0.0
LOW_ACTIVITY,strongest_span_median_minutes,2,14.0,13.0,15.0
MODERATE_ACTIVITY,dscovr_gate_fraction,2,0.0245906228384326,0.009456264775413711,0.03972498090145149
MODERATE_ACTIVITY,ace_gate_fraction,2,0.02559052964724537,0.01389854065323141,0.037282518641259324
MODERATE_ACTIVITY,wind_gate_fraction,2,0.024950495049504952,0.009900990099009901,0.04
MODERATE_ACTIVITY,joint_support_fraction_within_1_minutes,2,0.038461538461538464,0.0,0.07692307692307693
MODERATE_ACTIVITY,joint_support_fraction_within_2_minutes,2,0.09615384615384616,0.0,0.19230769230769232
MODERATE_ACTIVITY,joint_support_fraction_within_3_minutes,2,0.14423076923076922,0.0,0.28846153846153844
MODERATE_ACTIVITY,joint_support_fraction_within_5_minutes,2,0.23397435897435898,0.08333333333333333,0.38461538461538464
MODERATE_ACTIVITY,joint_support_fraction_within_10_minutes,2,0.375,0.25,0.5
MODERATE_ACTIVITY,joint_support_fraction_within_15_minutes,2,0.4871794871794872,0.4166666666666667,0.5576923076923077
MODERATE_ACTIVITY,strongest_span_le_3_minutes_fraction,2,0.034482758620689655,0.0,0.06896551724137931
MODERATE_ACTIVITY,strongest_span_median_minutes,2,13.5,13.0,14.0
ISOLATED_SHOCK,dscovr_gate_fraction,1,0.04036186499652053,0.04036186499652053,0.04036186499652053
ISOLATED_SHOCK,ace_gate_fraction,1,0.04378040305767894,0.04378040305767894,0.04378040305767894
ISOLATED_SHOCK,wind_gate_fraction,1,0.04341203351104341,0.04341203351104341,0.04341203351104341
ISOLATED_SHOCK,joint_support_fraction_within_1_minutes,1,0.22807017543859648,0.22807017543859648,0.22807017543859648
ISOLATED_SHOCK,joint_support_fraction_within_2_minutes,1,0.3508771929824561,0.3508771929824561,0.3508771929824561
ISOLATED_SHOCK,joint_support_fraction_within_3_minutes,1,0.40350877192982454,0.40350877192982454,0.40350877192982454
ISOLATED_SHOCK,joint_support_fraction_within_5_minutes,1,0.43859649122807015,0.43859649122807015,0.43859649122807015
ISOLATED_SHOCK,joint_support_fraction_within_10_minutes,1,0.7017543859649122,0.7017543859649122,0.7017543859649122
ISOLATED_SHOCK,joint_support_fraction_within_15_minutes,1,0.8070175438596491,0.8070175438596491,0.8070175438596491
ISOLATED_SHOCK,strongest_span_le_3_minutes_fraction,1,0.021739130434782608,0.021739130434782608,0.021739130434782608
ISOLATED_SHOCK,strongest_span_median_minutes,1,12.0,12.0,12.0
MILD_OR_GLANCING_STRUCTURE,dscovr_gate_fraction,1,0.03223330775134305,0.03223330775134305,0.03223330775134305
MILD_OR_GLANCING_STRUCTURE,ace_gate_fraction,1,0.02779708130646282,0.02779708130646282,0.02779708130646282
MILD_OR_GLANCING_STRUCTURE,wind_gate_fraction,1,0.02863278453829635,0.02863278453829635,0.02863278453829635
MILD_OR_GLANCING_STRUCTURE,joint_support_fraction_within_1_minutes,1,0.0,0.0,0.0
MILD_OR_GLANCING_STRUCTURE,joint_support_fraction_within_2_minutes,1,0.0,0.0,0.0
MILD_OR_GLANCING_STRUCTURE,joint_support_fraction_within_3_minutes,1,0.023809523809523808,0.023809523809523808,0.023809523809523808
MILD_OR_GLANCING_STRUCTURE,joint_support_fraction_within_5_minutes,1,0.09523809523809523,0.09523809523809523,0.09523809523809523
MILD_OR_GLANCING_STRUCTURE,joint_support_fraction_within_10_minutes,1,0.35714285714285715,0.35714285714285715,0.35714285714285715
MILD_OR_GLANCING_STRUCTURE,joint_support_fraction_within_15_minutes,1,0.4523809523809524,0.4523809523809524,0.4523809523809524
MILD_OR_GLANCING_STRUCTURE,strongest_span_le_3_minutes_fraction,1,0.0,0.0,0.0
MILD_OR_GLANCING_STRUCTURE,strongest_span_median_minutes,1,11.0,11.0,11.0
GANNON_DEVELOPMENT_EVENT,dscovr_gate_fraction,1,0.06001395673412421,0.06001395673412421,0.06001395673412421
GANNON_DEVELOPMENT_EVENT,ace_gate_fraction,1,0.057678943710910355,0.057678943710910355,0.057678943710910355
GANNON_DEVELOPMENT_EVENT,wind_gate_fraction,1,0.0625,0.0625,0.0625
GANNON_DEVELOPMENT_EVENT,joint_support_fraction_within_1_minutes,1,0.2682926829268293,0.2682926829268293,0.2682926829268293
GANNON_DEVELOPMENT_EVENT,joint_support_fraction_within_2_minutes,1,0.4268292682926829,0.4268292682926829,0.4268292682926829
